path	sentence	set
common_voice_en_37963922.mp3	Doctor Elizabeth Bartman is the immediate Past President.	train
common_voice_en_37457236.mp3	To the south-east Kilmar Tor and Caradon Hill are the most prominent hills.	train
common_voice_en_37570352.mp3	Mike tells Amanda the truth; terrified, she shoots him.	train
common_voice_en_37982150.mp3	Mercy unto you and peace and love be multiplied.	train
common_voice_en_38004270.mp3	The war had reached a stalemate after two years of fighting.	train
common_voice_en_37740821.mp3	Alternate plans included a city street and constructing a below-grade freeway.	train
common_voice_en_37880269.mp3	Also the boots he wore.	train
common_voice_en_37289919.mp3	"Metzger describes ""a fascistic element"" in the music of the Rolling Stones."	train
common_voice_en_37740818.mp3	It then flows south-west bordering Lesotho's capital city, Maseru.	train
common_voice_en_37919946.mp3	If she's not in love she definitely won't be writing love songs.	train
common_voice_en_37795935.mp3	Multipart singing occurs in societies where the sexes have a complementary relationship.	train
common_voice_en_37465451.mp3	She has published writings on the topic of Byzantine and medieval Armenian history.	train
common_voice_en_37916242.mp3	The city also has two public high schools.	train
common_voice_en_37951836.mp3	He left with a master of arts.	train
common_voice_en_37570301.mp3	There is no direct access to him by prayer or by sacrifices.	train
common_voice_en_37793825.mp3	Hammond left his books to his friend Richard Allestree.	train
common_voice_en_37597967.mp3	There are no airports in Whitemarsh Township.	train
common_voice_en_37425267.mp3	‘Now he is here,’ I exclaimed.	train
common_voice_en_37531375.mp3	Most diversions would occur during the peak snow melt runoff in May and June.	train
common_voice_en_37473957.mp3	Its name evolved from Inchadivilla to the present Chaville.	train
common_voice_en_37425226.mp3	Alexius fled his arranged marriage to follow his holy vocation.	train
common_voice_en_37484611.mp3	Mora's provocative and highly symbolic offal exhibit caused a stir.	train
common_voice_en_37861854.mp3	As sure as this is my girl!	train
common_voice_en_37886895.mp3	Election as an independent is far more common at the municipal level.	train
common_voice_en_37465619.mp3	Dave Feeney was the team captain.	train
common_voice_en_37289793.mp3	Rural folk saw war as a disaster, like drought, famine or plague.	train
common_voice_en_37598298.mp3	"She also called it the ""most human"" episode of the season."	train
common_voice_en_37396174.mp3	In Unix-like operating systems, many files have no associated physical storage device.	train
common_voice_en_37937219.mp3	Medical specialties can be classified along several axes.	train
common_voice_en_37846525.mp3	There is a man in your police station.	train
common_voice_en_37465471.mp3	His club rowing was from the Derwent Rowing Club.	train
common_voice_en_37570594.mp3	The ostrich feather received and bore away the king's soul.	train
common_voice_en_37940456.mp3	Her research was influential in social policy.	train
common_voice_en_37569964.mp3	It also acts as a vasodilator.	train
common_voice_en_37802400.mp3	The retinacular fibres of the patella also stabilize it during exercise.	train
common_voice_en_37569965.mp3	Flowering occurs from late winter to summer.	train
common_voice_en_37950592.mp3	This is a common traffic infrastructure and building maintenance concern.	train
common_voice_en_37465617.mp3	Gravity feed fuel systems are not immune to vapor lock.	train
common_voice_en_37289663.mp3	The two web colors magenta and fuchsia are exactly the same color.	train
common_voice_en_37343578.mp3	He became responsible for planning an invasion of Egypt.	train
common_voice_en_37597956.mp3	The stadium consists of a north-south field surrounded by an eight-lane track.	train
common_voice_en_37345862.mp3	Mr. Timothy Bloodworth.	train
common_voice_en_37376280.mp3	So, if the song is played backwards, the true message can be heard.	train
common_voice_en_37846624.mp3	Lynch's popularity was a big electoral asset.	train
common_voice_en_37343548.mp3	Recipients often vehemently deny that they deserve their place on the list.	train
common_voice_en_37666113.mp3	The eggs hatch the following winter.	train
common_voice_en_37539845.mp3	Pools at various heights flow into the basin.	train
common_voice_en_37387417.mp3	Stan Kesler - William Taylor.	train
common_voice_en_37289768.mp3	Earlswood Common is a Local Nature Reserve.	train
common_voice_en_37810541.mp3	She was the third Hannah Hansen and the first non-twin role.	train
common_voice_en_37913081.mp3	Commission rates and fees are negotiable and not regulated.	train
common_voice_en_37622695.mp3	It is found in northern and western Europe and north Africa.	train
common_voice_en_37306251.mp3	Hamlet started his career in Nigeria with Rangers International.	train
common_voice_en_37489792.mp3	Many have complex biological relationships with their dispersal agents.	train
common_voice_en_37940965.mp3	"Harbinger was reanimated as a Black Lantern during the ""Blackest Night"" crossover."	train
common_voice_en_37888941.mp3	Marsh was born in Scotland, however he grew up in South London.	train
common_voice_en_37570001.mp3	"Fifty percent of the molecules were later shown to be active inhibitors ""in vitro""."	train
common_voice_en_37297799.mp3	He then enrolled in the National University of San Marcos in Lima.	train
common_voice_en_37570299.mp3	The cargo was lost.	train
common_voice_en_37477294.mp3	If one engine broke down, the Terrapin tended to swing around violently.	train
common_voice_en_37465561.mp3	Therens had been driving drunk and collided with a tree.	train
common_voice_en_37570567.mp3	There are six undergraduate and three graduate programs.	train
common_voice_en_37359161.mp3	Four keys locked these entrances to the town.	train
common_voice_en_37539134.mp3	Moreover the assets mortgaged to the Bank had fallen into disrepair.	train
common_voice_en_37531434.mp3	At the county level, Centre County, Pennsylvania's county seat is in Bellefonte, Pennsylvania.	train
common_voice_en_37550248.mp3	Many games, especially fighting games, have adopted similar button layouts.	train
common_voice_en_37863220.mp3	The island lies in Fourth Lake in the Fulton Chain of Lakes.	train
common_voice_en_37477279.mp3	Many of the items however have no effect on the gameplay.	train
common_voice_en_37475747.mp3	Hilderic was supported by Gunhild, Bishop of Maguelonne.	train
common_voice_en_37388655.mp3	Voters were able to cast up to five votes.	train
common_voice_en_37780661.mp3	Three groups of Spanish soldiers pursued them.	train
common_voice_en_37701314.mp3	It has a long history, with several relocations along the way.	train
common_voice_en_37829511.mp3	Bartle found his first term the more enjoyable.	train
common_voice_en_37465504.mp3	In many cases, overtime periods are conducted without any commercials.	train
common_voice_en_37457242.mp3	Within four years of starting the band, they were signed onto Island Records.	train
common_voice_en_37599379.mp3	The Federal Bureau of Prisons United States Penitentiary, Pollock is located near Pollock.	train
common_voice_en_37883060.mp3	The entry to the church, in most surviving cases, is in the northwest side.	train
common_voice_en_37539778.mp3	Latimer was Episcopalian.	train
common_voice_en_37570718.mp3	They moved in large units to stave off cavalry.	train
common_voice_en_37394368.mp3	Officially Locke remained in charge of the department.	train
common_voice_en_37981651.mp3	The film was produced by Discovery Channel.	train
common_voice_en_37300591.mp3	Flagler and his family relocated there as well.	train
common_voice_en_37921652.mp3	There are several classical sources which support this.	train
common_voice_en_37952557.mp3	The Army hospital provided general medicine for returning veterans.	train
common_voice_en_37793816.mp3	The Giants participated in the Cactus League during spring training.	train
common_voice_en_37932483.mp3	Plans are no good.	train
common_voice_en_37754243.mp3	Females can give birth twice a year.	train
common_voice_en_37976307.mp3	The defined-benefits plan is more complex.	train
common_voice_en_37976445.mp3	It also carries a searchlight, night-vision equipment and illuminating paraflares for night-time operations.	train
common_voice_en_37465552.mp3	Today, he is considered the French equivalent to his contemporary Quisling in Norway.	train
common_voice_en_37850576.mp3	The honey bucket system is used in most of the community.	train
